State_id,State code,State,State_name
904,5,AR,Arkansas
905,5,AR,Arkansas
906,5,AR,Arkansas
907,5,AR,Arkansas
908,5,AR,Arkansas
909,5,AR,Arkansas
910,5,AR,Arkansas
911,5,AR,Arkansas
912,5,AR,Arkansas
913,5,AR,Arkansas
914,5,AR,Arkansas
915,5,AR,Arkansas
916,5,AR,Arkansas
917,5,AR,Arkansas
918,5,AR,Arkansas
919,5,AR,Arkansas
920,5,AR,Arkansas
921,5,AR,Arkansas
922,5,AR,Arkansas
923,5,AR,Arkansas
924,5,AR,Arkansas
925,5,AR,Arkansas
926,5,AR,Arkansas
927,5,AR,Arkansas
928,5,AR,Arkansas
929,5,AR,Arkansas
930,5,AR,Arkansas
931,5,AR,Arkansas
932,5,AR,Arkansas
933,5,AR,Arkansas
934,5,AR,Arkansas
935,5,AR,Arkansas
936,5,AR,Arkansas
937,5,AR,Arkansas
938,5,AR,Arkansas
939,5,AR,Arkansas
940,5,AR,Arkansas
941,5,AR,Arkansas
942,5,AR,Arkansas
943,5,AR,Arkansas
944,5,AR,Arkansas
945,5,AR,Arkansas
946,5,AR,Arkansas
947,5,AR,Arkansas
948,5,AR,Arkansas
949,5,AR,Arkansas
950,5,AR,Arkansas
951,5,AR,Arkansas
952,5,AR,Arkansas
953,5,AR,Arkansas
954,5,AR,Arkansas
955,5,AR,Arkansas
956,5,AR,Arkansas
957,5,AR,Arkansas
958,5,AR,Arkansas
959,5,AR,Arkansas
960,5,AR,Arkansas
961,5,AR,Arkansas
962,5,AR,Arkansas
963,5,AR,Arkansas
964,5,AR,Arkansas
965,5,AR,Arkansas
966,5,AR,Arkansas
967,5,AR,Arkansas
968,5,AR,Arkansas
969,5,AR,Arkansas
970,5,AR,Arkansas
971,5,AR,Arkansas
972,5,AR,Arkansas
973,5,AR,Arkansas
974,5,AR,Arkansas
975,5,AR,Arkansas
976,5,AR,Arkansas
977,5,AR,Arkansas
978,5,AR,Arkansas
979,5,AR,Arkansas
980,5,AR,Arkansas
981,5,AR,Arkansas
982,5,AR,Arkansas
983,5,AR,Arkansas
984,5,AR,Arkansas
985,5,AR,Arkansas
986,5,AR,Arkansas
987,5,AR,Arkansas
988,5,AR,Arkansas
989,5,AR,Arkansas
990,5,AR,Arkansas
991,5,AR,Arkansas
992,5,AR,Arkansas
993,5,AR,Arkansas
994,5,AR,Arkansas
995,5,AR,Arkansas
996,5,AR,Arkansas
997,5,AR,Arkansas
998,5,AR,Arkansas
999,5,AR,Arkansas
1000,5,AR,Arkansas
1001,5,AR,Arkansas
1002,5,AR,Arkansas
1003,5,AR,Arkansas
1004,5,AR,Arkansas
1005,5,AR,Arkansas
1006,5,AR,Arkansas
1007,5,AR,Arkansas
1008,5,AR,Arkansas
1009,5,AR,Arkansas
1010,5,AR,Arkansas
1011,5,AR,Arkansas
1012,5,AR,Arkansas
1013,5,AR,Arkansas
1014,5,AR,Arkansas
1015,5,AR,Arkansas
1016,5,AR,Arkansas
1017,5,AR,Arkansas
1018,5,AR,Arkansas
1019,5,AR,Arkansas
1020,5,AR,Arkansas
1021,5,AR,Arkansas
1022,5,AR,Arkansas
1023,5,AR,Arkansas
1024,5,AR,Arkansas
1025,5,AR,Arkansas
1026,5,AR,Arkansas
1027,5,AR,Arkansas
1028,5,AR,Arkansas
1029,5,AR,Arkansas
1030,5,AR,Arkansas
1031,5,AR,Arkansas
1032,5,AR,Arkansas
1033,5,AR,Arkansas
1034,5,AR,Arkansas
1035,5,AR,Arkansas
1036,5,AR,Arkansas
1037,5,AR,Arkansas
1038,5,AR,Arkansas
1039,5,AR,Arkansas
1040,5,AR,Arkansas
1041,5,AR,Arkansas
1042,5,AR,Arkansas
1043,5,AR,Arkansas
1044,5,AR,Arkansas
1045,5,AR,Arkansas
1046,5,AR,Arkansas
1047,5,AR,Arkansas
1048,5,AR,Arkansas
1049,5,AR,Arkansas
1050,5,AR,Arkansas
1051,5,AR,Arkansas
1052,5,AR,Arkansas
1053,5,AR,Arkansas
1054,5,AR,Arkansas
1055,5,AR,Arkansas
1056,5,AR,Arkansas
1057,5,AR,Arkansas
1058,5,AR,Arkansas
1059,5,AR,Arkansas
1060,5,AR,Arkansas
1061,5,AR,Arkansas
1062,5,AR,Arkansas
1063,5,AR,Arkansas
1064,5,AR,Arkansas
1065,5,AR,Arkansas
1066,5,AR,Arkansas
1067,5,AR,Arkansas
1068,5,AR,Arkansas
1069,5,AR,Arkansas
1070,5,AR,Arkansas
1071,5,AR,Arkansas
1072,5,AR,Arkansas
1073,5,AR,Arkansas
1074,5,AR,Arkansas
1075,5,AR,Arkansas
1076,5,AR,Arkansas
1077,5,AR,Arkansas
1078,5,AR,Arkansas
1079,5,AR,Arkansas
1080,5,AR,Arkansas
1081,5,AR,Arkansas
1082,5,AR,Arkansas
1083,5,AR,Arkansas
1084,5,AR,Arkansas
1085,5,AR,Arkansas
1086,5,AR,Arkansas
1087,5,AR,Arkansas
1088,5,AR,Arkansas
1089,5,AR,Arkansas
1090,5,AR,Arkansas
1091,5,AR,Arkansas
1092,5,AR,Arkansas
1093,5,AR,Arkansas
1094,5,AR,Arkansas
1095,5,AR,Arkansas
1096,5,AR,Arkansas
1097,5,AR,Arkansas
1098,5,AR,Arkansas
1099,5,AR,Arkansas
1100,5,AR,Arkansas
1101,5,AR,Arkansas
1102,5,AR,Arkansas
1103,5,AR,Arkansas
1104,5,AR,Arkansas
1105,5,AR,Arkansas
1106,5,AR,Arkansas
1107,5,AR,Arkansas
1108,5,AR,Arkansas
1109,5,AR,Arkansas
1110,5,AR,Arkansas
1111,5,AR,Arkansas
1112,5,AR,Arkansas
1113,5,AR,Arkansas
1114,5,AR,Arkansas
1115,5,AR,Arkansas
1116,5,AR,Arkansas
